station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0;rreetsd0
BER;01.01.2025 00:00;-2.2;3.2;-6;-2.9;4.6;-7.1;91.1;4.7;961.1;1030.1;;;1026.7;1.4;3.6;5;13;3.5;12.6;;0;0;0;85;252;;;;410;86;0.1;0;180;22.2;14.2;-0.1
BER;02.01.2025 00:00;2.8;8;-3.8;0.6;6.3;-6.8;78.4;5.8;952.2;1019.2;;;1017.3;3.2;18.6;11.5;67;18.2;65.5;;15.2;15.2;0;32;294;;;;34;7;0.7;0;227;17.2;9.2;15.1
BER;03.01.2025 00:00;-1.2;2.2;-5.2;-1.7;5.4;-8;92.4;5.2;956.1;1024.4;;;1021.4;0.7;3;2.5;10.8;2.9;10.4;;0;0;0;63;251;;;;219;46;0;0;18;21.2;13.2;-0.1
BER;04.01.2025 00:00;-3;0.1;-6.5;-3.5;0;-10.1;88;4.3;953.3;1021.9;;;1018.5;1.1;4.6;4;16.6;4.5;16.2;;13.3;6.8;0;35;274;;;;0;0;0.2;0;174;23;15;6.8
BER;05.01.2025 00:00;3.4;7.8;0.1;2.7;9.4;-0.6;93.7;7.4;942.3;1008.5;;;1006.9;2.2;6.4;7.9;23;6.2;22.3;;0.9;7.4;0;52;303;;;;138;29;0.3;0;186;16.6;8.6;7.4
BER;06.01.2025 00:00;4.6;10.2;0.5;3.7;9.1;-1.2;90.1;7.7;937.1;1002.6;;;1001.4;2;17.1;7.2;61.6;16.4;59;;14.9;14.9;0;26;317;;;;9;2;0.5;0;220;15.4;7.4;14.9
BER;07.01.2025 00:00;4.1;7.3;-0.3;2.4;8.9;-2.2;78.1;6.4;943.9;1010;;;1008.5;2.5;17.7;9;63.7;16.7;60.1;;2.6;0.9;0;37;284;;;;89;18;0.6;0;227;15.9;7.9;0.8
BER;08.01.2025 00:00;7.2;11;2.9;5.7;9.5;-0.1;83.8;8.6;942;1007.2;;;1006.5;2.4;14.4;8.6;51.8;13.9;50;;4.7;6.4;0;21;330;;;;0;0;0.6;0;197;12.8;4.8;6.4
BER;09.01.2025 00:00;6.7;10.6;0.3;5;10.5;-0.6;79;7.9;943.3;1008.7;;;1007.9;3.2;19.8;11.5;71.3;19.3;69.5;;3.7;3.7;0;38;309;;;;39;8;0.6;0;240;13.3;5.3;3.6
BER;10.01.2025 00:00;0.9;2.3;-0.2;0.5;4;-1.4;82.2;5.3;953.7;1021.3;;;1018.9;1;3.3;3.6;11.9;3.2;11.5;;0.6;0.6;0;26;296;;;;0;0;0.4;0;45;19.1;11.1;0.6
