station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0;rreetsd0
DAV;01.01.2025 00:00;-2.5;3.5;-5.9;-4.7;5.5;-9.4;53.2;2.7;846.7;;1564.2;;1026.1;1;3.2;3.6;11.5;3.2;11.5;0;0;0;35;79;212;;51;;377;100;0.2;0;203;22.5;14.5;-0.6
DAV;02.01.2025 00:00;-1.7;2.5;-6.5;-3.2;1.6;-9.9;59.5;3.2;837.3;;1475.6;;1015.2;2.4;8.3;8.6;29.9;8.1;29.2;80;2.4;1.9;35;29;273;;16;;0;0;0.8;0;72;21.7;13.7;1.8
DAV;03.01.2025 00:00;-8.1;-3.4;-14.8;-9.6;-0.1;-18.2;76.1;2.6;838;;1484.7;;1016;1.5;6.5;5.4;23.4;6.4;23;0;0;0.5;40;88;210;;61;;371;98;0.1;0;60;28.1;20.1;0.2
DAV;04.01.2025 00:00;-8.4;-2.3;-15.7;-10.2;-1.4;-18.7;67;2.2;837.2;;1477.5;;1015;0.4;3.4;1.4;12.2;3.3;11.9;0;0.2;0;39;77;215;;51;;351;93;0.1;0;225;28.4;20.4;-0.4
DAV;05.01.2025 00:00;0.6;4.4;-4.6;-0.2;2.8;-4.7;81.7;5.3;832.3;;1425.7;;1009.2;1.5;8.4;5.4;30.2;8;28.8;30;0.2;0.4;38;27;299;;15;;0;0;0.4;0;222;19.4;11.4;0.4
DAV;06.01.2025 00:00;4.5;8;0.8;3.3;8.4;-1.2;51.5;4.3;828.1;;1382.3;;1004.4;3.3;14.8;11.9;53.3;14;50.4;1300;6;0;37;53;292;;33;;139;37;1.2;0;213;15.5;7.5;-0.3
DAV;07.01.2025 00:00;-2.7;0.8;-7.1;-3.6;2.6;-10.6;87.7;4.5;829.5;;1400.9;;1006;2.4;8;8.6;28.8;7.9;28.4;0;1.6;7.6;43;47;263;;32;;67;18;0.2;0;5;22.7;14.7;7.6
DAV;08.01.2025 00:00;-0.6;3.7;-7.7;-1.3;5.5;-10.3;83.2;4.9;831.3;;1416.9;;1008.1;1.4;5.2;5;18.7;5;18;0;0;0;41;61;282;;41;;137;36;0.2;0;207;20.6;12.6;-0.1
DAV;09.01.2025 00:00;1.6;7.1;-3.7;1;8.1;-4.2;76;5.2;829.5;;1398.4;;1006.1;2.2;15.6;7.9;56.2;15;54;240;1.2;1.2;36;70;284;;44;;224;58;0.5;0;81;18.4;10.4;1
DAV;10.01.2025 00:00;-5.6;-3.9;-6.8;-5.8;-3.7;-6.9;68;2.7;836.2;;1467.1;;1013.9;2.8;12.1;10.1;43.6;11.9;42.8;0;1.5;0.8;37;38;272;;22;;0;0;0.6;0;36;25.6;17.6;0.7
DAV;11.01.2025 00:00;-7.7;-4.9;-12.8;-8.2;-2;-16.5;81.7;2.9;839.1;;1494.7;;1017.2;2.2;7.8;7.9;28.1;7.6;27.4;0;0;0.7;43;81;234;;57;;326;84;0.1;0;40;27.7;19.7;0.5
DAV;12.01.2025 00:00;-12.1;-7.4;-17;-14;-3.9;-20.3;75.6;1.8;847.6;;1573.6;;1027.1;1.3;6.2;4.7;22.3;5.9;21.2;0;0;0;38;78;197;;54;;283;73;0.2;0;27;32.1;24.1;-0.2
DAV;13.01.2025 00:00;-12.1;-4.8;-18.3;-14.9;-3;-22.9;69;1.7;850.1;;1596.9;;1030.1;0.6;3;2.2;10.8;2.9;10.4;0;0;0;37;92;178;;62;;389;100;0.1;0;207;32.1;24.1;-0.3
DAV;14.01.2025 00:00;-5.4;1.9;-11.8;-8.5;3.7;-15.6;51.4;2.1;848.8;;1584.2;;1028.6;0.6;5;2.2;18;4.8;17.3;0;0;0;36;89;213;;60;;368;94;0.2;0;360;25.4;17.4;-0.4
DAV;15.01.2025 00:00;-4.3;-0.5;-8.9;-6.2;1.7;-12.8;69.3;3.1;846.7;;1564.7;;1026.1;1.9;9.7;6.8;34.9;9.4;33.8;0;0;0;36;53;249;;34;;82;21;0.4;0;17;24.3;16.3;-0.1
