station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0;rreetsd0
KLO;01.01.2025 00:00;0.6;6.5;-3.2;-0.6;9.2;-4.7;84.3;5.3;975;1028;;;1025.8;3;8.8;10.8;31.7;8.4;30.2;;0;0;0;81;249;;;30;365;78;0.4;0;143;19.4;11.4;-0.2
KLO;02.01.2025 00:00;5.4;9.7;0.4;3.8;8.8;-2.3;70.5;6.2;965.8;1017.3;;;1016.2;5.9;26;21.2;93.6;24.6;88.6;;18.1;18.1;0;30;308;;;24;32;7;1.3;0;243;14.6;6.6;18
KLO;03.01.2025 00:00;-0.3;2;-4.5;-1.8;3.6;-8.4;84.2;5;971.3;1024.3;;;1022;1.9;7.3;6.8;26.3;7;25.2;;0;0;0;56;260;;;28;181;39;0.2;0;266;20.3;12.3;-0.1
KLO;04.01.2025 00:00;-3.6;0;-7.1;-4;-0.1;-10.3;93.2;4.4;968.7;1022.2;;;1019.3;1.3;5.4;4.7;19.4;5.4;19.4;;29.4;14.7;0;42;272;;;40;0;0;0.2;0;90;23.6;15.6;14.7
KLO;05.01.2025 00:00;3.8;6.3;0;2.3;6.5;-1;92.8;7.5;956.1;1007.5;;;1006.2;3.8;9.3;13.7;33.5;9.1;32.8;;3.6;18.3;1;30;313;;;28;21;5;0.2;0;151;16.2;8.2;18.3
KLO;06.01.2025 00:00;6.3;11.5;0;4.8;10.8;-2;80.8;7.6;951;1001.6;;;1000.8;3.6;15.5;13;55.8;14.7;52.9;;12.5;12.5;0;28;319;;;24;16;3;0.8;0;216;13.7;5.7;12.5
KLO;07.01.2025 00:00;5.1;7.8;1.7;3.2;8.2;-0.9;76.8;6.7;957.7;1008.9;;;1007.9;4.4;22.2;15.8;79.9;21.6;77.8;;2.4;1;0;51;286;;;28;178;38;0.8;0;228;14.9;6.9;0.9
KLO;08.01.2025 00:00;7.3;11.8;2.9;6;9.7;1.4;84.6;8.7;955.7;1006.4;;;1005.7;4.6;16;16.6;57.6;15.2;54.7;;7.5;8.4;0;17;332;;;16;2;0;0.9;0;199;12.7;4.7;8.4
KLO;09.01.2025 00:00;7.2;12.1;1.3;5.5;12.9;0.2;80.5;8.2;956.6;1007.4;;;1006.7;5.4;23.2;19.4;83.5;20.6;74.2;;5.1;5.6;0;45;309;;;33;93;20;0.9;0;235;12.8;4.8;5.5
KLO;10.01.2025 00:00;1.1;3.1;-2.8;0.1;4.3;-5.3;76.7;5.1;968.9;1021.5;;;1019.5;2;7.5;7.2;27;7.3;26.3;;0;0;0;41;277;;;32;47;10;0.4;0;276;18.9;10.9;-0.1
KLO;11.01.2025 00:00;-1.8;2.3;-5.5;-3.7;4.4;-9;81.2;4.3;973.5;1027;;;1024.3;2.3;8.2;8.3;29.5;7.9;28.4;;0;0;0;79;225;;;23;439;94;0.3;0;9;21.8;13.8;-0.2
KLO;12.01.2025 00:00;-2.3;1.9;-6.7;-3.9;4.2;-9.8;77.1;3.9;983.6;1037.7;;;1034.8;2.2;7.5;7.9;27;7.4;26.6;;0;0;0;66;241;;;32;242;51;0.4;0;14;22.3;14.3;-0.1
KLO;13.01.2025 00:00;-3.2;-0.7;-6.3;-4.6;0.6;-9.6;75.5;3.6;985.5;1040;;;1036.8;3.6;11.9;13;42.8;11.6;41.8;;0;0;0;66;228;;;31;262;56;0.4;0;28;23.2;15.2;-0.2
KLO;14.01.2025 00:00;-3.4;0.5;-7.5;-5.1;3.2;-11.1;79.6;3.8;982.6;1036.8;;;1033.7;1.8;7;6.5;25.2;6.8;24.5;;0;0;0;76;227;;;21;366;78;0.2;0;38;23.4;15.4;-0.2
KLO;15.01.2025 00:00;-1;2.1;-8.3;-1.3;4.1;-11.2;89;5.1;980.1;1033.8;;;1031.2;2.3;11.9;8.3;42.8;11.4;41;;0;0;0;41;296;;;37;16;3;0.1;0;39;21;13;0
