station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0;rreetsd0
ZER;01.01.2025 00:00;-2.3;3.6;-5.3;-7.3;0.6;-9.9;46.1;2.4;843;;1574;;1027.2;1.3;3.7;4.7;13.3;3.6;13;;0;0;40;71;;;;14;285;100;0.5;0;219;22.3;14.3;-0.5
ZER;02.01.2025 00:00;-1.4;3;-5.2;-4.1;0.7;-9.6;58.1;3.2;833.8;;1486.2;;1016.4;1.2;6.5;4.3;23.4;6.4;23;;7.8;1;40;56;;;;37;174;61;0.4;0;225;21.4;13.4;0.7
ZER;03.01.2025 00:00;-5.9;-1.9;-11.3;-3.7;-1.9;-7.9;75.8;3.1;832.7;;1478.2;;1015.1;1.2;7.2;4.3;25.9;6.8;24.5;;0;6.8;57;76;;;;16;287;100;0.2;0;214;25.9;17.9;6.6
ZER;04.01.2025 00:00;-5.5;0.1;-11.7;-5.8;-1.7;-9.1;65.7;2.7;832.6;;1476.9;;1015;1.1;3.1;4;11.2;3.1;11.2;;0.5;0.4;53;68;;;;35;285;99;0.3;0;217;25.5;17.5;0.1
ZER;05.01.2025 00:00;2.3;5.8;-1.2;-0.4;0.3;-1.7;85.2;6.1;828.1;;1427.9;;1009.6;1;5.4;3.6;19.4;5.3;19.1;;0;0.1;51;44;;;;37;27;9;0.3;0;233;17.7;9.7;0.1
ZER;06.01.2025 00:00;1.7;5.9;-1;-0.7;0.6;-2.3;71;4.9;823.2;;1380.1;;1003.9;2.8;18.9;10.1;68;18.9;68;;1.4;0.1;47;30;;;;28;0;0;0.9;0;180;18.3;10.3;0
ZER;07.01.2025 00:00;-2.6;0.1;-4.9;-2.4;0.1;-5.5;81.6;4.2;825.7;;1409.1;;1006.9;1;7.8;3.6;28.1;7.7;27.7;;0.1;1.3;49;77;;;;32;245;84;0.2;0;180;22.6;14.6;1.2
ZER;08.01.2025 00:00;0.3;3.8;-4.1;-1;0.6;-4.8;81.1;5.2;827.6;;1424.6;;1009.1;1.2;6.4;4.3;23;6.1;22;;1.2;1.3;48;45;;;;40;18;6;0.3;0;360;19.7;11.7;1.2
ZER;09.01.2025 00:00;0.8;3.3;-1.4;-0.9;0.8;-4;84.7;5.5;826;;1408.9;;1007.2;1.5;13.8;5.4;49.7;13.4;48.2;;0.8;0.8;46;59;;;;43;81;27;0.3;0;63;19.2;11.2;0.7
ZER;10.01.2025 00:00;-3;2.3;-4.6;-1.8;0;-3.1;79.9;3.8;830;;1450.1;;1011.8;1.8;12.5;6.5;45;12.4;44.6;;9.2;9.2;44;9;;;;8;0;0;0.7;0;68;23;15;9.2
ZER;11.01.2025 00:00;-4.6;-1.6;-6.7;-2.8;0.5;-7;92.1;4;832.8;;1477.9;;1015.1;1.7;6.6;6.1;23.8;6.5;23.4;;0.8;0.8;60;54;;;;41;56;19;0.2;0;45;24.6;16.6;0.8
ZER;12.01.2025 00:00;-8.9;-3.1;-11.6;-11.6;-4.9;-15.7;70.7;2.2;840.5;;1552.8;;1024.3;1.2;5.4;4.3;19.4;5.3;19.1;;0;0;59;81;;;;17;299;100;0.3;0;211;28.9;20.9;-0.3
ZER;13.01.2025 00:00;-5.9;1.1;-11.4;-10;-1.4;-15.8;47.8;1.8;843.3;;1577.3;;1027.5;1.4;4.2;5;15.1;4.2;15.1;;0;0;56;85;;;;17;300;100;0.5;0;219;25.9;17.9;-0.4
ZER;14.01.2025 00:00;-2.9;3.6;-7.1;-6.8;1.7;-10.8;47.2;2.3;843.1;;1574.7;;1027.2;1.3;5.4;4.7;19.4;5.3;19.1;;0;0;54;81;;;;16;302;100;0.6;0;217;22.9;14.9;-0.4
ZER;15.01.2025 00:00;-3.3;1.9;-6.1;-7;0.1;-9.9;51.6;2.4;840.4;;1549.6;;1024.1;1.3;5.3;4.7;19.1;5;18;;0;0;53;82;;;;16;303;99;0.5;0;217;23.3;15.3;-0.4
ZER;16.01.2025 00:00;-3.1;2;-6.5;-6.2;1;-10.5;49.6;2.4;843.2;;1575.7;;1027.3;1.5;5.7;5.4;20.5;5.6;20.2;;0;0;52;81;;;;16;304;100;0.6;0;219;23.1;15.1;-0.4
ZER;17.01.2025 00:00;-2.3;3.5;-5.5;-6;2.3;-9.2;49.1;2.5;844.6;;1588.6;;1029;1.6;16.9;5.8;60.8;15.7;56.5;;0;0;52;84;;;;16;304;99;0.7;0;217;22.3;14.3;-0.4
ZER;18.01.2025 00:00;0.2;5.6;-5.9;-3;4.1;-9.6;44;2.7;842.3;;1566.5;;1026.3;1.9;19.1;6.8;68.8;18.3;65.9;;0;0;41;82;;;;16;305;99;0.8;0;228;19.8;11.8;-0.4
ZER;19.01.2025 00:00;1.4;5.3;-1.7;0.1;5.1;-4.2;67.9;4.5;836.9;;1513.9;;1019.9;1.3;13.3;4.7;47.9;13.3;47.9;;0;0;41;50;;;;44;16;5;0.6;0;315;18.6;10.6;-0.1
ZER;20.01.2025 00:00;-0.9;2.4;-3.7;-3.2;2.7;-7.5;64.7;3.7;835;;1497.6;;1017.8;0.9;3.3;3.2;11.9;3.3;11.9;;0;0;41;44;;;;42;0;0;0.5;0;214;20.9;12.9;-0.1
ZER;21.01.2025 00:00;-2;3.6;-4.7;-5.4;3.1;-8.4;55.4;2.9;832.6;;1474.6;;1014.9;1.2;4.8;4.3;17.3;4.8;17.3;;0;0;41;87;;;;16;312;100;0.5;0;215;22;14;-0.3
ZER;22.01.2025 00:00;-1.1;2.1;-4.2;-2.9;3.2;-7.8;61.4;3.5;829.3;;1442.5;;1011.1;1.4;7.1;5;25.6;6.9;24.8;;0;0;41;51;;;;47;2;1;0.6;0;45;21.1;13.1;-0.1
ZER;23.01.2025 00:00;-1.3;2.3;-5;-2.3;4.4;-8.8;84.3;4.7;829.2;;1441.4;;1010.9;1.3;8.5;4.7;30.6;8.3;29.9;;0.5;0.5;40;76;;;;49;113;36;0.4;0;56;21.3;13.3;0.4
ZER;24.01.2025 00:00;0.5;7.6;-5.2;-2.4;6.1;-8.7;52.7;3.2;833.9;;1486.1;;1016.5;1.4;6.8;5;24.5;6.7;24.1;;0;0;41;74;;;;32;230;72;0.8;0;225;19.5;11.5;-0.3
ZER;25.01.2025 00:00;2.3;6.3;-0.6;0.2;5.9;-3.6;55.1;3.9;831.5;;1461;;1013.6;1.9;14.3;6.8;51.5;13.9;50;;5.2;0;41;80;;;;31;296;93;0.9;0;45;17.7;9.7;-0.3
ZER;26.01.2025 00:00;-0.7;5.3;-2.3;-0.6;3;-2;78.6;4.5;829.6;;1444.9;;1011.4;1.8;15.5;6.5;55.8;15.4;55.4;;0;5.2;54;97;;;;32;284;88;0.6;0;135;20.7;12.7;5.1
ZER;27.01.2025 00:00;-0.2;2.5;-2.1;-0.7;0.6;-2.7;86.8;5.2;825;;1400.2;;1006.1;1;8;3.6;28.8;7.8;28.1;;22.5;6.4;51;37;;;;33;8;2;0.4;0;45;20.2;12.2;6.4
ZER;28.01.2025 00:00;-1.9;0.2;-4;0;0;0;92.3;4.9;820.4;;1356.2;;1000.6;0.9;5.1;3.2;18.4;4.9;17.6;;2.8;18.9;76;63;;;;53;24;7;0.3;0;45;21.9;13.9;18.9
ZER;29.01.2025 00:00;-3.7;0.8;-6.9;-0.1;0;-0.4;75.9;3.5;829.2;;1443.7;;1011;1.1;4.3;4;15.5;4.3;15.5;;0;0;74;99;;;;31;329;100;0.4;0;220;23.7;15.7;-0.2
ZER;30.01.2025 00:00;-1.2;2.4;-4.9;-0.5;-0.2;-0.9;73.3;4.1;833.6;;1483.6;;1016.1;1.2;6;4.3;21.6;5.9;21.2;;0;0;70;84;;;;58;118;36;0.5;0;0;21.2;13.2;-0.1
ZER;31.01.2025 00:00;-3.3;1.2;-7.1;-1.5;-0.7;-2.3;70.7;3.4;838.5;;1531.4;;1021.8;1.1;6.1;4;22;5.9;21.2;;0;0;67;88;;;;34;296;89;0.5;0;207;23.3;15.3;-0.2
ZER;01.02.2025 00:00;-2.4;3.2;-5.8;-1.5;-0.7;-2.3;64.5;3.2;838.7;;1533;;1022.1;1;2.9;3.6;10.4;2.8;10.1;;0;0;65;92;;;;35;205;61;0.6;0;216;22.4;14.4;-0.2
ZER;02.02.2025 00:00;-3.1;3.4;-6.3;-2.1;-0.9;-3;55.9;2.7;836.4;;1511.9;;1019.4;1.3;4.5;4.7;16.2;4.4;15.8;;0;0;64;109;;;;22;338;99;0.7;0;210;23.1;15.1;-0.3
