station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0;rreetsd0
CHB;01.01.2025 00:00;-2.4;6.1;-8.8;;;;72.3;3.6;905.4;;1544;;1026.1;0.7;3;2.5;10.8;2.6;9.4;;0;0;21;;;;;;;;;0;297;22.4;14.4;
CHB;02.01.2025 00:00;2.2;4.8;-0.8;;;;74.6;5.2;897.4;;1482.2;;1017.3;5;19.2;18;69.1;18.8;67.7;;15.9;15.8;20;;;;;;;;;0;225;17.8;9.8;
CHB;03.01.2025 00:00;-4.5;-0.8;-9;;;;93.7;4.1;899;;1485.4;;1019.1;1.2;5.1;4.3;18.4;4.8;17.3;;0;0.1;27;;;;;;;;;0;315;24.5;16.5;
CHB;04.01.2025 00:00;-3.5;4.5;-8.9;;;;95.1;4.7;895.9;;1459.7;;1015.7;1.4;9;5;32.4;8.7;31.3;;18.3;10.6;22;;;;;;;;;0;288;23.5;15.5;
CHB;05.01.2025 00:00;7.8;11.4;4.3;;;;63.7;6.4;888.1;;1405.9;;1007;4.9;17.6;17.6;63.4;17.2;61.9;;0.3;8;13;;;;;;;;;0;224;12.2;4.2;
CHB;06.01.2025 00:00;5.4;8.8;0.6;;;;71.3;6.2;882.9;;1355.1;;1001.2;5.3;21.3;19.1;76.7;20.8;74.9;;16;16;5;;;;;;;;;0;223;14.6;6.6;
CHB;07.01.2025 00:00;1.5;3.5;0.4;;;;82.5;5.6;889.2;;1407.8;;1008.2;4.6;12.1;16.6;43.6;11.8;42.5;;4.4;0.7;0;;;;;;;;;0;225;18.5;10.5;
CHB;08.01.2025 00:00;5.9;8.6;2.6;;;;87.7;8.1;888.4;;1406;;1007.3;5.3;15.2;19.1;54.7;14.4;51.8;;16;18.1;0;;;;;;;;;0;224;14.1;6.1;
CHB;09.01.2025 00:00;3.2;6.5;-3;;;;90.1;7.1;889.3;;1410.5;;1008.3;4.6;15.4;16.6;55.4;14.9;53.6;;15.1;16.7;0;;;;;;;;;0;232;16.8;8.8;
CHB;10.01.2025 00:00;-2.6;-1.8;-3.3;;;;92.3;4.7;896.6;;1467.6;;1016.4;2.3;5.5;8.3;19.8;5.4;19.4;;0.5;0.5;0;;;;;;;;;0;38;22.6;14.6;
CHB;11.01.2025 00:00;-3.4;-1.9;-5.6;;;;86.3;4.1;899.7;;1492.6;;1019.8;3.5;12.6;12.6;45.4;12.3;44.3;;0;0;0;;;;;;;;;0;34;23.4;15.4;
CHB;12.01.2025 00:00;-5.4;-3.6;-7.3;;;;80.6;3.3;907.7;;1558.1;;1028.7;7.9;18.3;28.4;65.9;17.6;63.4;;0;0;0;;;;;;;;;0;43;25.4;17.4;
