station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0;rreetsd0
ORO;01.01.2025 00:00;3.9;7.5;0.6;;;;51.5;4.1;929.5;;1550;;1026.2;4;8.9;14.4;32;8.6;31;;0;0;0;81;;;;16;462;100;1.2;0;187;16.1;8.1;-0.7
ORO;02.01.2025 00:00;3.2;7;0;;;;80.4;6.1;921.8;;1481.8;;1017.9;6.1;22;22;79.2;21.8;78.5;;11.9;11.5;0;46;;;;35;71;16;0.9;0;227;16.8;8.8;11.4
ORO;03.01.2025 00:00;-1.5;0.8;-5.6;;;;89.9;4.9;923.5;;1485;;1019.8;2.7;6.9;9.7;24.8;6.8;24.5;;0;0.4;2;79;;;;14;435;95;0.1;0;51;21.5;13.5;0.3
ORO;04.01.2025 00:00;-3.7;1.1;-8.2;;;;90.9;4.3;920.9;;1456.9;;1016.9;2.9;12.9;10.4;46.4;12.7;45.7;;11.3;5.3;1;55;;;;41;118;26;0.3;0;183;23.7;15.7;5.2
ORO;05.01.2025 00:00;5.7;7.8;0.8;;;;93.3;8.5;912.1;;1402.6;;1007.4;4.1;10.7;14.8;38.5;10.4;37.4;;0.2;6.2;0;42;;;;37;13;3;0.1;0;198;14.3;6.3;6.2
ORO;06.01.2025 00:00;6.4;8.6;2.9;;;;76.8;7.3;906.9;;1358.1;;1001.8;5.4;18.9;19.4;68;18.1;65.2;;25.2;25.2;0;14;;;;12;0;0;1;0;218;13.6;5.6;25.1
ORO;07.01.2025 00:00;3.5;5.1;2.2;;;;78.6;6.1;913.5;;1410.2;;1008.9;5.2;16.2;18.7;58.3;15.7;56.5;;2.8;0;0;37;;;;31;20;4;0.9;0;221;16.5;8.5;-0.1
ORO;08.01.2025 00:00;5.7;7.9;2.8;;;;94.4;8.7;912.4;;1405.6;;1007.7;5.2;15.4;18.7;55.4;14.8;53.3;;10.3;11.3;0;18;;;;16;0;0;0.4;0;210;14.3;6.3;11.3
ORO;09.01.2025 00:00;5;8.2;-0.9;;;;89.4;8;913.3;;1411;;1008.6;6.2;19.6;22.3;70.6;18.9;68;;11.3;13.1;0;19;;;;17;0;0;0.3;0;223;15;7;13.1
ORO;10.01.2025 00:00;-0.9;0.2;-1.6;;;;91.2;5.2;921.4;;1468.5;;1017.4;1.3;5.5;4.7;19.8;5.4;19.4;;1.8;1.7;0;23;;;;22;0;0;0.3;0;14;20.9;12.9;1.7
